Report,description
French Open: Coco Gauff calls for peace and end to gun violence in camera message,American teenager Coco Gauff says she is comfortable with speaking out about social issues and believes sports stars can use their platform to drive change.
Indonesia: More than 120 dead in football stampede,At least 127 died after police tear-gassed rioting supporters after a match on East Java.
Excess deaths in 2022 among worst in 50 years,"New figures show more than 650,000 people died in the UK last year."
'It's a bit weird' - young Mormon missionaries on their bootcamp training,The life of a young Mormon missionary trying to bring others into the religion.
Italy out of World Cup: Can Azzurri turn 'disaster' against North Macedonia into better future?,"For the first time in their history, Italy will miss a second successive World Cup - now they need to avoid scapegoats and learn from a sporting disaster, says Daniele Verri."
Petr Pavel: Ex-general beats populist rival in Czech election,Defeated former PM Andrej Babis conceded to retired Nato general Petr Pavel on Saturday afternoon.
Why half a million people watch me study on TikTok,"With exams coming up, students are turning to Yehya's live study streams to revise."
Comedian Rhod Gilbert receiving treatment for cancer,The comedian cancelled shows last week after saying he was struggling with neck and throat pain.
Quiz of the week: What was Cristiano Ronaldo's off-field own goal?,How closely have you been paying attention to what's been going on over the past seven days?
Deptford: The London high street voted one of the world's coolest,Deptford High Street was named one of the world's top 33 streets but does it face an uncertain future?
Alzheimer's: Neil Kinnock supporting wife through disease,"The ex-Labour leader says his wife Glenys, who has Alzheimer's, has been ""a continent of rocks""."
The Papers: 'Wake up zombies!' and 'Truss softens on handouts',The spiralling cost of living and the ongoing Tory leadership race lead the papers.
"Can these rocks really power light bulbs? No, say the experts",Viral videos of minerals with apparent electrical properties are not what they seem.
The mind games of Argentina's dancing hero,Emi Martinez's penalty shootout mind games help secure an incredible win for Argentina and make the dancing goalkeeper a hero.
Oliviers 2022: Jason Manford's best jokes and 7 other highlights,Jason Manford's references to the Oscars slap were among several memorable moments at the ceremony.
Author Benjamin Myers on the crop-circle makers who 'blew people's minds',A new novel follows the men who owned up to making crop circles - but some of the mystery remains.
King's coronation oil will be animal-cruelty free,A new version of sacred oil to be used at the King's coronation has been consecrated in Jerusalem.
"Truss's tax cuts clearly wrong approach, says Shapps","Grant Shapps, who briefly served in Liz Truss's cabinet, said inflation must fall before taxes are cut."
Missing Doncaster cockatiel prompts unusual search tactic by owner,"Emma Jenkinson carries cockatiel Snowy in a special carrier to try and lure Pippy, its mate, home."
Election results 2022: Boris Johnson admits tough losses for Tories,"The Conservatives lose nearly 500 council seats, while the Lib Dems make big gains in southern England."
UK elections 2022: A really simple guide,"Local elections in England, Wales and Scotland, and a general election in Northern Ireland, will happen on 5 May."
Almost 400 migrants cross Channel on small boats,"A further 467 people were intercepted by French authorities attempting to cross, the Home Office says."
"Grenfell tragedy: Government is failing to act on inquiry report, says London mayor","Delay puts lives at risk, says Sadiq Khan as he says London Fire Brigade have made changes asked of them."
Josephine Tewson: Keeping Up Appearances actress dies at 91,Josephine Tewson played Hyacinth Bucket's nervous neighbour Elizabeth in the 1990s TV sitcom.
How Margaret Thatcher's secret Brahms phone was invented,Brahms was the UK's first portable encrypted communications system designed to allow talk securely.
Texas shooting: How a sunny Uvalde school day ended in bloodshed,Eyewitnesses describe how a quiet Texan school became the site of one of the country's worst attacks.
Is hay fever getting worse in the UK?,Experts say that climate change could lengthen hay fever season and increase pollen potency.
Ukraine war in maps: Tracking the Russian invasion,Ukrainian counter-attacks have broken through Russian lines in the Kharkiv region.
Covid: Spring booster jab launches for over-75s and high risk in England,Experts say it will help keep the most vulnerable protected against severe illness amid rising infections.
US midterm elections: Does Finland have the answer to fake news?,Finns learn in school how to spot media disinformation - is that an approach the US could adopt?
Edinburgh Festival: Biggest arts festival in the world begins,"Thousands of performers from across the world descend on Edinburgh to put on more than 3,000 shows."
World Cup 2022: Wales' Allen backs Bale and Ramsey to shine in England game,Joe Allen says Gareth Bale and Aaron Ramsey can rise to the occasion when Wales face England knowing victory is essential for any chance of World Cup progress.
"The Crown new season watched by 1.1m in UK on launch day, first official ratings say","More than a million people in the UK watched the new series on its first day of release, Barb says."
Partygate: Which Downing Street parties have resulted in fines so far?,The police inquiry is separate to the investigation carried out by civil servant Sue Gray.
Ukraine war: Rishi Sunak visits President Zelensky in Kyiv as he pledges £50m in aid,The UK prime minister has travelled to Ukraine for the first time since taking office.
US tracking suspected Chinese surveillance balloon,Pentagon officials say they have decided against blowing the alleged spy craft out of the sky - for now.
Cost of living: 'We both work but we can't afford the family rent',"A nurse is facing eviction with her family, and they can't find a new home within budget."
Assad: Syria's leader makes historic visit to UAE,It marks Bashar al-Assad's first visit to an Arab country since the Syrian civil war began in 2011.
Peru protests: Machu Picchu closed indefinitely and tourists stranded,Hundreds of visitors are stranded at the popular Incan citadel as violent protests rock the country.
"'It felt like us, it looked like us' - Klopp hails derby win ",Cody Gakpo scores his first Liverpool goal as the Reds return to winning ways in the Merseyside derby to leave Everton rooted in the relegation zone.
Macron defeats Le Pen and vows to unite divided France,He triumphs over his far-right rival and becomes the first president to win re-election in 20 years.
What losing my wife to pancreatic cancer taught me about life and loss,"Four months ago, Geraint John lost his 43-year-old wife and the mother of his three children to cancer."
World Cup 2022: How have travelling fans found Qatar tournament?,"The historic first World Cup in the Middle East has been controversial, but how have the travelling supporters found the host nation?"
No tree or gifts for thousands in this US city,Migrants arriving in El Paso will spend their first Christmas away from home. Many left loved ones behind.
"World Aquatic Championships: Summer McIntosh, 15, wins gold & Great Britain take relay bronze",Great Britain's men win relay bronze while 15-year-old Canadian Summer McIntosh takes her second gold on the final day of the World Aquatics Championships.
"What happened to the UK economy, pound and mortgages this week?",The last seven days have been a rollercoaster with mortgage costs and the pound thrown off course.
The Traitors: Why viewers became so loyal to the BBC reality series,The Claudia Winkleman-fronted TV series has built a fiercely devoted following in recent weeks.
In pictures: Harry and Meghan join royals for National Service of Thanksgiving,They were among hundreds of guests paying tribute to the Queen.
Euro 2022: What to look out for in the quarter-finals,Are England set for Euro 2022 glory? Who might stop them? And who will finish as top scorer? BBC Sport picks out five things to look out for as the knockout stages begin.
Worcester Warriors owners 'agree terms of sale of club' to interested party,Worcester Warriors' owners say they have agreed the terms of the sale of the troubled club to an interested party.
Chocolate and sweets prices jump ahead of Easter,"Chocolate is among food products that have seen record rises in March, ahead of the Easter holiday."
Record number of nurses quitting the NHS,"Experts call for urgent action to stem brain drain of staff as 40,000 walk away from health service."
Wimbledon ban on Russian players is discrimination - Andrey Rublev,"Russian world number eight Andrey Rublev says Wimbledon's ban on Russian and Belarusian players is ""complete discrimination""."
Steve Barclay: What will new health secretary tackle first?,"Sajid Javid's replacement faces a big list of problems, including NHS staff pay and long waiting lists."
Elaine Thompson-Herah beats Dina Asher-Smith in emphatic Diamond League win,"Olympic 100m champion Elaine Thompson-Herah proves she is still the one to beat with an emphatic Diamond League win over a clutch of rivals, including Britain's Dina Asher-Smith, in Eugene."
Labour conference: Sir Keir Starmer backs net zero electricity to boost growth,The Labour leader sets out plans to make the UK entirely free from fossil fuels by 2030.
"Sunak: We've tried every other way, it hasn't worked",The UK PM addresses reporters about new plans to crack down on people crossing the Channel in small boats.
Queen Elizabeth II's personal touches in plans for funeral day,A national two-minute silence is announced for the end of the state funeral service on Monday.
European Under-19 Championship: England 4-0 Serbia - highlights,Watch highlights of England's 4-0 win against Serbia at the European Under-19 Championship in Slovakia.
Washington DC at 'tipping point' as migrants arrive from border,Texas and Arizona have transported thousands of migrants north in protest over the Biden border policy.
Flesh-eating bug: Swansea DJ tells how graze almost killed him,Scott Neil couldn't believe how he got potentially fatal disease after a trip while walking home.
Vanessa Bryant testifies she was 'blindsided' by leaked photos,Vanessa Bryant is seeking millions for emotional distress over photos taken at the accident site.
Match for Peace tour: 'I have friends in Ukraine with guns now',Ukrainian players from Dynamo Kyiv and Borussia Dortmund speak about being away from loved ones.
Cost of living tips: How to cut energy and heating costs in your home,Consumer Affairs Correspondent Colletta Smith has picked out some of the best ways to cut costs in your home.
Photographers pick their top shots of the year,Press Association photographers reflect on their best images from the past year.
Biden says 'Maga forces' threaten US democracy,Mr Biden says Trump supporters want to take the US backwards. Republicans say Mr Biden has betrayed America.
Roman Abramovich: Chelsea have credit card facilities temporarily suspended,Chelsea's credit card facilities are temporarily suspended while banks assess the implications of the sanctions imposed on Russian billionaire owner Roman Abramovich.
Megafire rips through swathes of land near Bordeaux,Firefighters continue to try to extinguish the wildfire raging through the Gironde region.
Bristol mum writes heart surgery book to help son,"Aimee says the book will help her son understand why he ""should be proud"" of his heart surgery scar."
Jeremy Corbyn: Starmer move flagrant attack on democracy,The former Labour leader attacks a decision to bar him from representing Labour at the next election.
Ukraine war: Oligarch Eugene Shvidler's jets held indefinitely,"The two planes belong to Eugene Shvidler, an associate of Roman Abramovich, the government says."
Ukraine war: Russia troop deployment to Belarus prompts speculation,Russia is sending thousands more troops to Belarus. Is the country going to join the war in Ukraine?
The changing face of the North Sea oil industry,"Some workers are still banking on a career in oil and gas, others are focusing on a greener future."
Pink Ladies' Tractor Road Run helps breast cancer research,More than 100 women drive miles on decorated tractors on a journey to raise £1m for a cancer charity.
P&O Ferries backlash grows after firing 800 workers,"Staff, MPs and unions express outrage and travellers are told to expect disruption."
"European Super League: New proposal would be open competition, say organisers","A new-look European Super League would be a competition with no permanent members and based on sporting performance, says A22 chief executive Bernd Reichart."
Euro 2022: Watch all of the angles of Alessia Russo's 'wow goal' against Northern Ireland,"Alessia Russo executes a superb turn and scores an ""absolutely brilliant"" goal to put England 4-0 up against Northern Ireland at St Mary's Stadium."
Meet the designers with learning disabilities,"A design agency in Barcelona has creatives with learning disabilities, autism and schizophrenia."
Ros Atkins on… the windfall tax debate,Why is the government facing growing pressure to announce a windfall tax on oil and gas companies?
Peterborough: Work starts to cut down Bretton oak tree,Campaigners are in tears as the ancient tree is felled after a row over how it was a threat to homes.
Online predators targeting live-streaming - charities,"Charities say online predators increasingly live-stream, an area not covered by the bill."
Gymnast Simone Biles given highest US civilian award,The Olympic gymnast is the youngest person ever to receive the Presidential Medal of Freedom.
Eliza Fletcher: Police identify body found in search for heiress,"The 34-year-old was a teacher in Memphis, but also the granddaughter of a local billionaire."
Anteater rescued from wildfire by Bolivian firefighters,Firefighters tackling bushfires found an injured anteater in a scorched protected area.
French Open: Rafael Nadal won't play Wimbledon if he needs foot injections,"Rafael Nadal says he won his record-extending 14th French Open title with ""no feeling"" in his chronically injured left foot."
'I was jumping through hoops to get a loan',One firm tells of its struggles as a survey suggests lending to small businesses has hit an all-time low.
'Not likely but possible' - Liverpool manager Jurgen Klopp on title hopes,"Liverpool boss Jurgen Klopp says the title is ""not likely but possible"" after their 2-1 win at Southampton sends it down to the final day."
Bank of England vows to bring down inflation,The bank's chief economist says its focus is getting prices down and making life affordable again.
Pound hits record low after tax cut plans,Sterling sinks close to $1.03 as global markets react to the UK's biggest tax cuts in 50 years.
"England v South Africa: Danni Wyatt, Sophia Dunkley and Natalie Sciver lead England to victory","Danni Wyatt, Sophia Dunkley and Natalie Sciver dominated with the bat as England beat South Africa by six wickets in the second T20 international at Worcester."
Long-term plan to tackle racial disparity in UK,"The ""Inclusive Britain"" plan was developed in response to the Black Lives Matter protests in 2020."
What UK aid cut means for one South Sudan hospital,One of the few doctors serving 1.3 million people may have to leave because he would lose his salary.
Is too much talent a problem for Indian cricket?,Experts say player selection will be a key factor in leading India to victory in upcoming matches.
The Papers: Raab's 'high standards' and 'Nicola cops search sea',"Changes to the Church of England, Dominic Raab's defence and Burt Bacharach's death lead the papers."
Chelsea Bridge: Man Tasered in critical condition after River Thames fall,"The police watchdog and the Met Police are investigating following the incident in Chelsea, London."
"Dutch boy, 4, takes mother's car for a joyride","Despite crashing into two parked cars, no one was hurt in the youngster's early morning escapade."
Oscars condemns Will Smith slap and launches review,The incident has sparked fierce debate over comic Chris Rock's joke and the reaction it provoked.
Boris Nemtsov: Murdered Putin rival 'tailed' by agent linked to FSB hit squad,An investigation finds evidence Boris Nemtsov was shadowed by an agent linked to an assassination team.
TV lookahead: 23 highlights to look out for in 2023,"Doctor Who, a 007 global contest and the return of Waterloo Road are among next year's TV treats."
"N Korea tested long-range missiles, says US",The US says the two recent tests were a 'serious escalation' and vows to further sanction N Korea.
New Zealand storm Gabrielle: Tense wait as ex-cyclone moves over North Island,Some people have been told to evacuate there homes and the worst weather is expected on Monday.
Ukraine war: Russian journalist Oksana Baulina killed in Kyiv shelling,Oksana Baulina died while filming destruction caused by Russian shelling in a Kyiv neighbourhood.
Ukraine war: The priest shot at a checkpoint,The shooting of a Ukrainian priest by Russian soldiers is being logged as a suspected war crime.
"Gazprom: Russian gas boss says 'our product, our rules' in supply row","It comes after energy firms in Germany, Italy and Austria report big falls in Russian gas supply."
Body of missing hillwalker found in Glen Coe,"Neil Gillingham, from Kilmarnock, went missing on a walk with his dog last Sunday on Stob Coire Sgreamhach."
Government set to miss air pollution goals - report,"People cannot easily find out how dirty the air is where they live, the National Audit Office says."
Clive Myrie: The Ukrainians I met are not about to give up,The presenter reflects on the indomitable locals he met in Kyiv - convinced they would defeat the Russians.
What is a recession and how could it affect me?,The Bank of England is predicting a recession later this year - what does that mean?
Ukraine: Does the Home Office need to get a grip?,There's frustration and fury among MPs at the Home Office's response to those fleeing the war.
Owen Farrell says Eddie Jones sacking as England boss is 'unbelievably disappointing',"England captain Owen Farrell says the Rugby Football Union's decision to sack Eddie Jones as head coach was ""unbelievably disappointing""."
Poland feels the strain of Ukraine's refugees,The eastern town of Zamosc has welcomed thousands of refugees but locals wonder how long they can cope.
Ukraine war: Inside the recaptured city of Izyum,The BBC's Orla Guerin finds Russian tanks and relieved residents in the freed city.
Euro 2022: Leah Williamson never felt England were going out against Spain,England captain Leah Williamson says she never thought they were going to lose to Spain despite needing an 84th-minute equaliser and extra-time winner to reach the Euro 2022 semi-finals.
Manchester United 2-2 Leeds United: Jadon Sancho goal earns home side point in thriller,Jadon Sancho scores on his Premier League return as Manchester United recover from two goals down to draw with Leeds.
Champions League: Pep Guardiola's Manchester City aim to advance in 'most open' competition,Manchester City will be aiming to reach the Champions League quarter-finals on Tuesday and does this year represent their best chance of winning the tournament?
Joe Clarke expresses 'embarrassment and shame' over WhatsApp messages,"Nottinghamshire batter Joe Clarke says he feels ""embarrassment and shame"" over his involvement in a WhatsApp group with rapist Alex Hepburn."
Turkey earthquake: Antakya now unrecognisable to tour guide,"A 20-year tour guide takes the BBC into the Turkish city, where his usual reference points are in ruins."
How unproven Tyre Nichols rumour fits victim-blaming pattern,Experts say there is a pattern of false allegations directed towards victims of police brutality.
Artemis: Nasa will try to launch Moon rocket on Saturday,"After Monday's postponement, the US space agency thinks it has a strategy to launch at the weekend."
El Sistema: How a Venezuelan music scheme changed Raploch,Did music really change lives on one of Scotland's most deprived estates?
Quiz of the week: Who did the Oscars apologise to this week?,How closely have you been paying attention to what's been going on over the past seven days?
Online porn: 'My pupils ask me about violence',Teachers are debating how best to tackle pornography and its impact on children - and staff.
Independence Day: How Chicago Radio became the voice of India's freedom,"For two decades, Mumbai-based Chicago Radio became synonymous with India's freedom struggle."
Gorgosaurus: Ancient dinosaur skeleton sells for $6m at auction,"The Gorgosaurus - a ""fiercer"" cousin of the T-rex - is the first of its kind sold to a private buyer."
Sikh prayer books return to military after 100 years,Nitnem Gutkas are issued by the UK Defence Sikh Network at a ceremony in London.
"World Cup 2022: Elation in Argentina, sorrow in France - fans react","The party has only just started in Buenos Aires, but in Paris the crowds have already gone home."
St David Awards: Merthyr litter picker Daniel Lewis honoured,"Daniel Lewis, 17, is inspiring other young people to tackle the problem in his home town."
Ukraine's battle for control of its skies,"A Ukrainian air defence officer tells the BBC: ""Whoever dominates the air wins the war."""
Brit nominee Pa Salieu jailed for Coventry violent disorder,Brit nominee Pa Salieu attacked a man in Coventry shortly after his best friend was stabbed to death.
NI politics: Is another Stormont election a certainty?,"Three weeks before a crucial deadline, BBC News NI examines the options facing the NI secretary."
Rishi Sunak promises anti-social behaviour crackdown,New plans will aim to have people repair damage they cause within 48 hours of being given an order.
Kenyan climber joins first all-black team attempting Mount Everest,Kenya's James Kagambi is the oldest in a group out to inspire black people to take up mountaineering.
French election: Left surge threatens Macron majority in France,A strong showing by a left-green alliance jeopardises the French president's parliamentary majority.
NHS mental health trust sets up food bank for staff,Other trusts start similar initiatives over fears staff are struggling with rising prices.
Carrot ice lollies keeping animals cool in heatwave,"More shade, extra fans and ice blocks are also being used at Hatton Country World near Warwick."
Warning of fresh energy bill shock in October as prices rise again,"A typical annual energy bill could be as high as £2,600 by October, warns consultancy Cornwall Insight."
Everton: A day of hope ends in despair as pressure increases for Frank Lampard,Saturday was a chance for Everton to turn their season around but ultimately delivered arguably their lowest point in another dismal campaign.
Lib Dems call for higher pay for social care staff,"Sir Ed Davey says a higher minimum wage for the sector would help prevent an ""exodus"" to better paid jobs."
Why is UK inflation higher than other countries?,February's shock rise in inflation figure means the UK now has the highest rate among major economies.
Why Nigeria's historic dye pits in Kano risk closure,"They once dressed ""the blue men of the desert"", but modern tastes and insecurity could spell their end."
Sound Of 2023: Cat Burns went from busking to a platinum record,"The singer, whose single Go went platinum this year, takes fourth place in the BBC Sound Of 2023."
Firms 'banging heads against wall' over post-Brexit trade,"Two years after post-Brexit trading began with the EU, UK businesses feel frustrated, says BCC."
War in Ukraine: Change of emphasis or admission of failure by Moscow?,"Moscow now says the main aim is to ""liberate"" eastern Ukraine - a change of emphasis or more?"
Ben Earl: Saracens flanker named Premiership player of season,Saracens flanker Ben Earl is named as the Premiership player of the season after playing a key role in their title bid.
Crystal Palace 1-1 Manchester United: Michael Olise scores late equaliser as United miss chance to go second,Crystal Palace's Michael Olise scores a stunning last-minute free-kick to deny Manchester United a victory.
Young Nigerians pin hopes on presidential outsider,"Some 40% of Nigeria's voters are under 35, and many want change after years of misrule."
Cost of living: How you can save money on pet care,We've been speaking to a few experts who have given animal lovers their top tips on saving money.
Is attacking Ukraine's power grid a war crime?,"Western leaders say Russia's attacks on Ukrainian infrastructure are illegal, but what does the law say?"
Greg Norman: LIV Golf chief fields questions on Saudi Arabia's human rights record,"Greg Norman says ""we've all made mistakes"" as he fields questions on Saudi Arabia's human rights record and the murder of dissident journalist Jamal Khashoggi."
Dustin Johnson resigns from PGA Tour to play LIV Golf,Two-time major champion Dustin Johnson resigns from the PGA Tour in order to play in the Saudi Arabian-funded LIV Invitational Series.
Sri Lanka: Parliament to vote for new president amid crisis,Acting President Ranil Wickremesinghe is the frontrunner - but deeply unpopular with the public.
Cost of living: Deptford charity turns phone box into community hub,An old phone box has been helping people struggling with the rising costs of living in Deptford.
Chancellor attempts to put tax U-turn behind him,"The chancellor says he wants to focus on delivering growth, after admitting it's been a ""tough day""."
Megan Newborough: Man who strangled girlfriend convicted of murder,Ross McCullam admitted Megan Newborough's manslaughter but had denied murder.
The Papers: 'Hopelessly devoted to you' and 'tax-plan tension',The death of Olivia Newton-John and tensions among the rival Tory leadership campaigns lead the papers.
Arsenal 3-0 Tottenham: Gunners' victory ensures WSL title will be decided on final day,The Women's Super League title will be decided on the final day of the season after Arsenal beat rivals Tottenham at the Emirates.
Ecuador declares emergency over gang crime,"A curfew is imposed and thousands of police and soldiers are deployed to restore ""peace and order""."
Castrating Pablo Escobar's hippos,Vet Carlos Valderrama describes castrating Pablo Escobar's hippo in the wild.
The Papers: UK 'hostage' to strikes and 'World Cup le crunch',Saturday's front pages focus on the potential impact of upcoming strikes and England's World Cup quarter-final match against France.
"China-Taiwan: As China broods, Taiwan is in a 'Pelosi lovefest'","The US Speaker's visit is celebrated in Taipei, but could it spark a major US-China crisis?"
Trump Organization found guilty of tax crimes after New York trial,"The business is synonymous with the former president, but neither he or his family were on trial."
"Garth Crooks' Team of the Week: Salah, Toney, Mount, Silva, Martinez",Which player's form makes him 'a must' for the World Cup in Qatar? Find out in Garth Crooks' latest Team of the Week.
Medusa festival: One killed as strong winds cause stage collapse in Spain,At least 40 others were injured in bad weather at a popular electronic music festival near Valencia.
Strictly Come Dancing; How are this year's newly-paired couples feeling?,"The widely watched dancing competition has paired the celebrities, including comedian Ellie Taylor and actor Will Mellor, with their dancing professionals."
Kinder chocolate factory told to shut over salmonella cases,"Dozens of suspected cases have been reported in countries including the UK, Germany, France and Belgium."
The Papers: 'Vegan mob' foiled and 'care homes crisis',"Activists plotting to sabotage the Grand National have been reported to police, the Mail on Sunday reports."
The race to make diesel engines run on hydrogen,"Ordinary diesel trucks could be converted to a hydrogen-diesel mix, according to researchers in Australia."
Manchester City 2-2 Liverpool: Rivalry is fierce on the pitch but friendly off it,Premier League title rivalries have often been hostile affairs but Manchester City and Liverpool's battle is underpinned with respect.
Children stopped sleeping and eating to play Fornite - lawsuit,A Canadian judge approves legal action by parents who say their children were addicted to the video game.
Mini-budget: What it means for you and your finances,"Chancellor Kwasi Kwarteng has delivered what the government calls a ""fiscal event"". Here is how it affects you."
Pakistan goat: Long-eared kid becomes star,"Simba's ears measure 54cm (21in) each, a length his owner claims breaks global records."
What time is the Queen's funeral? Who will wear military uniform? And other questions,The death of Queen Elizabeth II has had a major impact on daily life. What can we expect?
West Ham United 2-1 Anderlecht: Jarrod Bowen and Said Benrahma score as Hammers progress,West Ham guarantee a place in the Europa Conference League knockout stage with a win over Anderlecht in Group B.
Women 'manipulated' about abortion in pregnancy crisis centres,Investigation finds more than a third of services are giving misleading information or unethical advice.
Curious owl inspects TV weather station camera,"The camera in Great Falls, Montana, captured the moment the bird peeked into its lens."
Is Dominic Raab's quest to reform human rights law almost over?,"The deputy PM says a British Bill of Rights will keep people safer, but it faces angry opposition."
Ukrainians on way to UK hit paperwork dead-end in Calais,"""No visa for at least another week,"" said Misha, simply. ""No-one can help us in Calais."""
Women's T20 World Cup: Best shots from Alice Capsey's 51 against Ireland,"Watch the best shots from Alice Capsey's 21 ball half-century against Ireland, as England win by 4 wickets for their second victory at the Women's T20 World Cup."
Encanto director invites glasses 'hero' schoolgirl Lowri to Baftas,The 12-year-old wrote to Disney three years ago asking them to create a lead female character with glasses.
Cheltenham stabbing: Man charged with attempted murder after woman attacked,"A woman was attacked outside a leisure centre in Tommy Taylors Lane, Cheltenham, last week."
Are teachers in the top 10% of earners in some areas?,Education Secretary Gillian Keegan said teachers are in the top 10% of earners in some parts of the country.
Omicron vs Zero-Covid: How long can China hold on?,China's worst outbreak in two years has got some questioning how long it can hang on to its strategy.
World Cup 2022: Argentina and France meet in the final at the Lusail Stadium,"Argentina are aiming to lift the World Cup for the first time since 1986, while France are hoping to win successive tournaments."
China and Hong Kong: Five moments in fraught relationship since handover,"From the Olympics to mass protests, the 25 years since handover have seen highs and lows."
How did Salt Bae get to hold World Cup after final?,"Fifa is investigating how celebrity chef Salt Bae and a number of other people gained ""undue access"" to the pitch at the end of the World Cup final in Qatar."
Are nurses striking in your area? Use our look-up to find out,"As nurses take part in the largest strike in NHS history, use our tool to see if your area is affected."
What do scientists actually want?,We asked climate experts from around the world what they want to see agreed at COP26 this week.
Inuit Greenlanders demand answers over Danish birth control scandal,Denmark and Greenland agree to investigate traumatising birth control procedures on Inuit Greenlanders.
Teachers' strikes: NEU urges teachers to reject new pay deal,"Schools in England could face further strikes, as the NEU is unhappy with the government's offer."
Diwali 2022: India celebrates the festival with a dazzling display of lights,Millions of Indians are illuminating their surroundings with lamps and fireworks to celebrate the festival.
Sir Mo Farah 'relieved' Home Office won't take action over citizenship,It comes after Sir Mo Farah revealed he was trafficked to the UK as a child.
Harry Styles' new album Harry's House charms music critics,"Harry's House is praised for its ""abundant charm"", with ""really well-crafted pop songs""."
Young Sports Personality of the Year 2022: Gymnast Jessica Gadirova wins award,Britain's teenage world champion gymnast Jessica Gadirova is named BBC Young Sports Personality of the Year.
Budget: Jeremy Hunt to expand free childcare to one and two-year-olds,"The plans, aimed at encouraging parents to return to work, are expected to be announced in the Budget."
Abortion: What does overturn of Roe v Wade mean?,Abortion restrictions will vary by state now the 50-year-old landmark ruling has been reversed.
‘It’s like an oven’: Life in Britain’s hottest neighbourhoods,"Exclusive BBC analysis shows that millions of people live in heat hotspots, and deprived areas are those most affected."
Canada MP regrets calling into debate from toilet,Opposition MPs noticed the familiar background on Liberal MP Shafqat Ali's screen.
MOTD Top 10: Could trophies be on their way to Spurs at last?,"This week's MOTD Top 10 features the best Premier League players from around the world. Could keeping one of those players, Son Heung-min, be the key to Tottenham winning trophies?"
Chandrashekhar Harbola: They waited 38 years for him - then his body came from Siachen,Indian soldier Chandrashekhar Harbola went missing in 1984 during an operation in the Siachen glacier.
Sunken Russian warship Moskva: What do we know?,"Russia claims the Moskva sank after an explosion of ammunition, but the ship is thought to have been hit by Ukrainian missiles"
Itaewon crush: First emergency call came hours before crush,"Police did almost nothing to stop a huge, unmanageable crowd from gathering."
Derby County: Administrators give Chris Kirchner Friday deadline to prove he can buy club,American businessman Chris Kirchner is given until 17:00 BST on Friday to provide evidence that he can complete the purchase of Derby County.
Covid: Five things we still need to keep an eye on,"The UK is moving to its ""living with Covid"" phase, but the virus still needs to be watched closely."
Sir Terry Pratchett: Short stories to be published after being found by fans,The late Sir Terry Pratchett wrote for a regional newspaper under a pseudonym in the 1970s and 80s.
Royal Society of Chemistry report says racism 'pervasive',"Racism is ""pervasive"" in chemical sciences, according to an investigation by the Royal Society of Chemistry."
Italian PM Mario Draghi offers resignation after coalition falls apart,"Mario Draghi resigns after his coalition falls apart, but the president refuses to accept it."
Patagonia: Billionaire boss of fashion retailer gives company away,Yvon Chouinard will give all of the fashion company's profits to a charity fighting climate change.
Struggling gyms and pools issue plea for help,"A coalition of almost 200 sports governing bodies, health organisations and top athletes writes to UK prime minister Rishi Sunak asking for help."
'I caught my fraudster funeral director boss',Sarah Yorke confronted her boss over scamming dozens of people out of their life savings.
Are we failing young people with cancer?,Deborah James' experience has raised questions about how good the UK is at spotting and treating the disease.
'No idea' passenger lands Florida plane as pilot falls ill,"The unnamed passenger can be heard in recordings saying he had ""no idea how to stop the airplane""."
China protest: Mystery Beijing demonstrator sparks online hunt and tributes,Many are trying to track down a person who staged a rare demonstration criticising Xi Jinping.
London Zoo's crocodile skin handbag display goes viral,The bag was seized by UK Border Force and given to the zoo to showcase the reality of the illegal trade.
Rail workers given fresh pay offer in dispute,Train companies have increased their offer to RMT rail workers in an attempt to prevent more strikes.
Northumberland shooting star caught on one-in-million photo,The family were posing for a photo when a shooting star shot through the background.
Trapped in Saudi Arabia: A mother's fight to free her daughter,"Carly took her daughter to Saudi Arabia to visit her father. Three years later, she's still there."
Julian Nagelsmann: Why did Bayern Munich sack their manager and turn to Thomas Tuchel?,"Bayern Munich are the reigning Bundesliga champions and just one point off the top this season, so why was Julian Nagelsmann sacked?"
"Police failing to bring in talent from black communities, says racism lead",The man tasked with tackling racism in the police says racist incidents have been damaging.
North Korea: Fighting Covid with traditional medicine,"As Covid spreads in North Korea, state media urges the use of traditional medicine against the virus."
Killers with history of coercive behaviour face tougher sentences,Proposed new laws will target murderers with a history of controlling behaviour towards their victims.
Kanye West: Adidas investigates after claims of 'toxic' behaviour,"Rolling Stone has reported that staff have complained about West's ""problematic behaviour""."
Boris Johnson: 48 hours of political chaos,The drama that led to Boris Johnson's downfall.
Train strikes: Series of walkouts from Saturday suspended,"Walkouts on 5, 7, and 9 November are cancelled - but it is too late to stop disruption to services."
Antarctic post office: A home for Christmas among the penguins,Four British women are preparing to spend Christmas in the world's most southerly post office.
Powerball: Store owner who sold record US Powerball ticket gets $1m bonus,Joseph Chahayed will continue to work in his California shop despite the windfall from the $2bn ticket.
Brit Awards 2023 host Mo Gilligan gears up for show,Mo Gilligan says rows over nominations are above his pay grade and he wants to put on a good show.
Energy bills: Fears power cuts will switch off nebuliser,Susan Clifton fears power cuts could see her husband's nebuliser fail and is preparing for winter.
UK inflation rate calculator: How much are prices rising for you?,Use our calculator to find out how much the cost of living is going up in your household.
